Year,Trade Flow,Reporter Code,Reporter,exportLat,exportLong,Reporter ISO,Partner Code,Partner,importLat,importLong,Partner ISO,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2020,Export,842,USA,37.09024,-95.712891,USA,124,Canada,56.130366,-106.346771,CAN,"Waste, parings and scrap, of plastics",Weight in kilograms,159754229,159754229,59828085
2020,Import,842,USA,37.09024,-95.712891,USA,124,Canada,56.130366,-106.346771,CAN,"Waste, parings and scrap, of plastics",Weight in kilograms,136040440,136040440,49201898
2020,Import,842,USA,37.09024,-95.712891,USA,484,Mexico,23.634501,-102.552784,MEX,"Waste, parings and scrap, of plastics",Weight in kilograms,125377430,125377430,75168593
2020,Export,842,USA,37.09024,-95.712891,USA,458,Malaysia,4.210484,101.975766,MYS,"Waste, parings and scrap, of plastics",Weight in kilograms,119174290,119174290,27891534
2020,Export,842,USA,37.09024,-95.712891,USA,484,Mexico,23.634501,-102.552784,MEX,"Waste, parings and scrap, of plastics",Weight in kilograms,63148984,63148984,23708952
2020,Export,842,USA,37.09024,-95.712891,USA,704,Viet Nam,14.058324,108.277199,VNM,"Waste, parings and scrap, of plastics",Weight in kilograms,52658691,52658691,13913687
2020,Export,842,USA,37.09024,-95.712891,USA,360,Indonesia,-0.789275,113.921327,IDN,"Waste, parings and scrap, of plastics",Weight in kilograms,21563939,21563939,5754675
2020,Export,842,USA,37.09024,-95.712891,USA,699,India,20.593684,78.96288,IND,"Waste, parings and scrap, of plastics",Weight in kilograms,20124547,20124547,7638671
2020,Export,842,USA,37.09024,-95.712891,USA,792,Turkey,38.963745,35.243322,TUR,"Waste, parings and scrap, of plastics",Weight in kilograms,17841699,17841699,4692752
2020,Export,842,USA,37.09024,-95.712891,USA,764,Thailand,15.870032,100.992541,THA,"Waste, parings and scrap, of plastics",Weight in kilograms,17299134,17299134,4730964
2020,Import,842,USA,37.09024,-95.712891,USA,276,Germany,51.165691,10.451526,DEU,"Waste, parings and scrap, of plastics",Weight in kilograms,16143022,16143022,8862160
2020,Import,842,USA,37.09024,-95.712891,USA,392,Japan,36.204824,138.252924,JPN,"Waste, parings and scrap, of plastics",Weight in kilograms,14793578,14793578,9960029
2020,Export,842,USA,37.09024,-95.712891,USA,410,Rep. of Korea,38.9147495,-77.054683,KOR,"Waste, parings and scrap, of plastics",Weight in kilograms,13220019,13220019,5889748
2020,Import,842,USA,37.09024,-95.712891,USA,360,Indonesia,-0.789275,113.921327,IDN,"Waste, parings and scrap, of plastics",Weight in kilograms,13140644,13140644,10277567
2020,Import,842,USA,37.09024,-95.712891,USA,340,Honduras,15.199999,-86.241905,HND,"Waste, parings and scrap, of plastics",Weight in kilograms,10273915,10273915,9392526
2020,Import,842,USA,37.09024,-95.712891,USA,764,Thailand,15.870032,100.992541,THA,"Waste, parings and scrap, of plastics",Weight in kilograms,9755223,9755223,10640018
2020,Export,842,USA,37.09024,-95.712891,USA,276,Germany,51.165691,10.451526,DEU,"Waste, parings and scrap, of plastics",Weight in kilograms,9611368,9611368,3987981
2020,Export,842,USA,37.09024,-95.712891,USA,156,China,35.86166,104.195397,CHN,"Waste, parings and scrap, of plastics",Weight in kilograms,9122740,9122740,6308630
2020,Export,842,USA,37.09024,-95.712891,USA,50,Bangladesh,23.684994,90.356331,BGD,"Waste, parings and scrap, of plastics",Weight in kilograms,7794872,7794872,2424036
2020,Import,842,USA,37.09024,-95.712891,USA,156,China,35.86166,104.195397,CHN,"Waste, parings and scrap, of plastics",Weight in kilograms,7706828,7706828,4726075
2020,Export,842,USA,37.09024,-95.712891,USA,222,El Salvador,13.794185,-88.89653,SLV,"Waste, parings and scrap, of plastics",Weight in kilograms,7566941,7566941,5669624
2020,Export,842,USA,37.09024,-95.712891,USA,428,Latvia,56.879635,24.603189,LVA,"Waste, parings and scrap, of plastics",Weight in kilograms,7441302,7441302,1729248
2020,Import,842,USA,37.09024,-95.712891,USA,704,Viet Nam,14.058324,108.277199,VNM,"Waste, parings and scrap, of plastics",Weight in kilograms,6190277,6190277,4036727
2020,Export,842,USA,37.09024,-95.712891,USA,218,Ecuador,-1.831239,-78.183406,ECU,"Waste, parings and scrap, of plastics",Weight in kilograms,6133681,6133681,3426343
2020,Export,842,USA,37.09024,-95.712891,USA,586,Pakistan,30.375321,69.345116,PAK,"Waste, parings and scrap, of plastics",Weight in kilograms,4809005,4809005,2254918
2020,Import,842,USA,37.09024,-95.712891,USA,208,Denmark,56.26392,9.501785,DNK,"Waste, parings and scrap, of plastics",Weight in kilograms,4698906,4698906,2369346
2020,Import,842,USA,37.09024,-95.712891,USA,566,Nigeria,9.081999,8.675277,NGA,"Waste, parings and scrap, of plastics",Weight in kilograms,4546020,4546020,2476628
2020,Export,842,USA,37.09024,-95.712891,USA,724,Spain,40.463667,-3.74922,ESP,"Waste, parings and scrap, of plastics",Weight in kilograms,4372739,4372739,2612429
2020,Import,842,USA,37.09024,-95.712891,USA,218,Ecuador,-1.831239,-78.183406,ECU,"Waste, parings and scrap, of plastics",Weight in kilograms,4264922,4264922,3145855
2020,Import,842,USA,37.09024,-95.712891,USA,56,Belgium,50.503887,4.469936,BEL,"Waste, parings and scrap, of plastics",Weight in kilograms,4163707,4163707,2803477
2020,Import,842,USA,37.09024,-95.712891,USA,381,Italy,41.87194,12.56738,ITA,"Waste, parings and scrap, of plastics",Weight in kilograms,4060057,4060057,4149618
2020,Import,842,USA,37.09024,-95.712891,USA,231,Ethiopia,9.145,40.489673,ETH,"Waste, parings and scrap, of plastics",Weight in kilograms,3481770,3481770,1976904
2020,Export,842,USA,37.09024,-95.712891,USA,320,Guatemala,15.783471,-90.230759,GTM,"Waste, parings and scrap, of plastics",Weight in kilograms,2857686,2857686,1420466
2020,Import,842,USA,37.09024,-95.712891,USA,558,Nicaragua,12.865416,-85.207229,NIC,"Waste, parings and scrap, of plastics",Weight in kilograms,2763126,2763126,2165149
2020,Import,842,USA,37.09024,-95.712891,USA,608,Philippines,12.879721,121.774017,PHL,"Waste, parings and scrap, of plastics",Weight in kilograms,2733394,2733394,1556421
2020,Import,842,USA,37.09024,-95.712891,USA,528,Netherlands,52.132633,5.291266,NLD,"Waste, parings and scrap, of plastics",Weight in kilograms,2577069,2577069,1331106
2020,Import,842,USA,37.09024,-95.712891,USA,214,Dominican Rep.,18.735693,-70.162651,DOM,"Waste, parings and scrap, of plastics",Weight in kilograms,2567544,2567544,2281788
2020,Import,842,USA,37.09024,-95.712891,USA,616,Poland,51.919438,19.145136,POL,"Waste, parings and scrap, of plastics",Weight in kilograms,2318835,2318835,1303255
2020,Import,842,USA,37.09024,-95.712891,USA,724,Spain,40.463667,-3.74922,ESP,"Waste, parings and scrap, of plastics",Weight in kilograms,2310757,2310757,1558560
2020,Export,842,USA,37.09024,-95.712891,USA,826,United Kingdom,55.378051,-3.435973,GBR,"Waste, parings and scrap, of plastics",Weight in kilograms,2287357,2287357,1012519
2020,Import,842,USA,37.09024,-95.712891,USA,620,Portugal,39.399872,-8.224454,PRT,"Waste, parings and scrap, of plastics",Weight in kilograms,2260993,2260993,1440765
